,CRC
Clostridiales_bacterium_CCNA10<-->Ruthenibacterium_lactatiformans,0.028941464160789
Angelakisella_massiliensis<-->Clostridiales_bacterium_CCNA10,0.023562677831766004
Butyricicoccus_pullicaecorum<-->Clostridiales_bacterium_CCNA10,0.068957196799125
Clostridiales_bacterium_CCNA10<-->Johnsonella_ignava,-0.010334679774025999
Clostridiales_bacterium_CCNA10<-->Flavonifractor_plautii,0.043787037290428
Clostridiales_bacterium_CCNA10<-->Clostridium_bolteae,0.036324864758781
Anaerotruncus_colihominis<-->Clostridiales_bacterium_CCNA10,0.047397325082541
Bacteroides_fluxus<-->Clostridiales_bacterium_CCNA10,0.04459459292748599
Clostridiales_bacterium_CCNA10<-->Pseudoflavonifractor_capillosus,0.052137854206803
Bacteroides_thetaiotaomicron<-->Clostridiales_bacterium_CCNA10,0.027425813708326002
Dialister_pneumosintes<-->Peptostreptococcus_stomatis,0.12090324482673598
Bacteroides_salyersiae<-->Bacteroides_uniformis,0.026358655544778002
Bacteroides_faecichinchillae<-->Bacteroides_uniformis,0.015390163396244
Bacteroides_fluxus<-->Bacteroides_uniformis,0.013423424566552001
Bacteroides_dorei<-->Bacteroides_uniformis,0.030538600798534002
Bacteroides_pyogenes<-->Bacteroides_uniformis,0.030233906316059
Bacteroides_caecimuris<-->Bacteroides_fragilis,0.07407156100511099
Bacteroides_caecimuris<-->Clostridium_citroniae,0.075677752316732
Bacteroides_caecimuris<-->Clostridium_symbiosum,0.016815814137693
Bacteroides_caecimuris<-->Tyzzerella_nexilis,0.011069047380885
Bacteroides_caecimuris<-->Flavonifractor_plautii,0.012667683987613998
Bacteroides_caecimuris<-->Clostridium_bolteae,0.073588952127548
Bacteroides_caecimuris<-->Bacteroides_pyogenes,0.124426362031167
Bacteroides_caecimuris<-->Bacteroides_nordii,0.032362492107513
Bacteroides_coprocola<-->Bacteroides_thetaiotaomicron,0.030806799640321
Bacteroides_fragilis<-->Bacteroides_thetaiotaomicron,0.017421544888841
Bacteroides_thetaiotaomicron<-->Ruminococcus_callidus,-0.025580062041007004
Bacteroides_thetaiotaomicron<-->Lachnoclostridium_sp_YL32,0.048940765537340995
Bacteroides_thetaiotaomicron<-->Clostridium_citroniae,0.038186482311456
Bacteroides_salyersiae<-->Bacteroides_thetaiotaomicron,0.039557458527071
Agathobaculum_desmolans<-->Bacteroides_thetaiotaomicron,0.021685273367629
Bacteroides_thetaiotaomicron<-->Hungatella_hathewayi,0.036464929477878
Bacteroides_thetaiotaomicron<-->Flavonifractor_plautii,0.064369647715904
Bacteroides_thetaiotaomicron<-->Clostridium_bolteae,0.093901150857869
Anaerotruncus_colihominis<-->Bacteroides_thetaiotaomicron,0.010769874847999001
Bacteroides_thetaiotaomicron<-->Marvinbryantia_formatexigens,0.017587188899595003
Bacteroides_pyogenes<-->Bacteroides_thetaiotaomicron,0.080786563184926
Bacteroides_thetaiotaomicron<-->Clostridium_innocuum,0.01186833938667
Clostridium_innocuum<-->Ruminococcus_gnavus,0.010262758680298
Clostridium_innocuum<-->Clostridium_symbiosum,0.058799301836848
Clostridium_innocuum<-->Tyzzerella_nexilis,0.038991798547614
Blautia_sp_N6H1-15<-->Clostridium_innocuum,0.078875883699251
Blautia_producta<-->Clostridium_innocuum,0.027835421192374997
Clostridium_innocuum<-->Marvinbryantia_formatexigens,0.068414595840407
Clostridium_innocuum<-->Provencibacterium_massiliense,-0.056622386424824006
Angelakisella_massiliensis<-->Oscillibacter_sp_PEA192,0.040449018032459
Oscillibacter_sp_PEA192<-->Veillonella_dispar,-0.030190136370538
Bacteroides_fluxus<-->Bacteroides_helcogenes,0.011321603423768999
Bacteroides_coprophilus<-->Bacteroides_helcogenes,0.027941874706171002
Dorea_formicigenerans<-->Faecalibacterium_prausnitzii,0.022298431145405
Holdemania_massiliensis<-->Neglecta_timonensis,0.027778587312862
Clostridium_leptum<-->Neglecta_timonensis,0.013608856953642001
Agathobaculum_desmolans<-->Marvinbryantia_formatexigens,0.06373549407933402
Blautia_obeum<-->Fusicatenibacter_saccharivorans,0.023848063093284
Bacteroides_fragilis<-->Tyzzerella_nexilis,0.040971806894157005
Bacteroides_fragilis<-->Bacteroides_pyogenes,0.03166043293813
Bacteroides_fragilis<-->Bacteroides_ovatus,0.070265983001388
Bacteroides_fragilis<-->Clostridium_glycyrrhizinilyticum,0.024547191668039
Anaerotruncus_colihominis<-->Gemella_morbillorum,-0.024059523435685
Anaerotruncus_colihominis<-->Hungatella_hathewayi,0.061586921784263005
Anaerotruncus_colihominis<-->Flavonifractor_plautii,0.036434602831279
Anaerotruncus_colihominis<-->Pseudoflavonifractor_capillosus,0.049315858019647
Anaerotruncus_colihominis<-->Bacteroides_cellulosilyticus,0.016721052425397
Bacteroides_heparinolyticus<-->Barnesiella_viscericola,0.040126357913217996
Bacteroides_fluxus<-->Clostridium_citroniae,0.08954980847660601
Bacteroides_fluxus<-->Butyricicoccus_pullicaecorum,0.016306299522729
Bacteroides_fluxus<-->Johnsonella_ignava,-0.041690000903327994
Bacteroides_fluxus<-->Flavonifractor_plautii,0.027111060053032994
Bacteroides_fluxus<-->Bacteroides_pyogenes,0.018230943833928998
Bacteroides_fluxus<-->Bariatricus_massiliensis,-0.042652817802182996
Clostridium_citroniae<-->bacterium_LF-3,-0.013037474397796001
Clostridium_sporogenes<-->bacterium_LF-3,0.0674599997737
Christensenella_minuta<-->bacterium_LF-3,0.079447783874772
Butyricicoccus_pullicaecorum<-->Subdoligranulum_variabile,0.059980795496794005
Fournierella_massiliensis<-->Subdoligranulum_variabile,0.03291671723294
Angelakisella_massiliensis<-->Bacteroides_cellulosilyticus,0.0265161437762
Blautia_hansenii<-->Flavonifractor_plautii,0.012094478665090001
Blautia_hansenii<-->Clostridium_bolteae,0.012420593462761002
Anaerotignum_lactatifermentans<-->Blautia_hansenii,0.024258197662919
Alistipes_obesi<-->Angelakisella_massiliensis,0.038187794967931996
Alistipes_obesi<-->Alistipes_putredinis,0.050475322722537005
Alistipes_senegalensis<-->Culturomica_massiliensis,0.064179894940164
Collinsella_aerofaciens<-->Johnsonella_ignava,0.04692465242933401
Johnsonella_ignava<-->Lachnoclostridium_sp_YL32,-0.015077984369530999
Clostridium_bolteae<-->Johnsonella_ignava,-0.04540972435429401
Johnsonella_ignava<-->Merdibacter_massiliensis,0.039053997482787005
Alistipes_senegalensis<-->Phocea_massiliensis,0.038796989122368994
Lactonifactor_longoviformis<-->Phocea_massiliensis,0.060659831379577006
Clostridium_leptum<-->Phocea_massiliensis,0.05761372305418401
Clostridium_methylpentosum<-->Phocea_massiliensis,0.052401167721003
Clostridium_asparagiforme<-->Phocea_massiliensis,0.011844402324531
Merdibacter_massiliensis<-->Provencibacterium_massiliense,0.06694889180734401
Blautia_schinkii<-->Lactonifactor_longoviformis,0.015349685413270002
Blautia_schinkii<-->Clostridium_leptum,0.036342617777116
Blautia_schinkii<-->Clostridium_asparagiforme,0.03756087873549399
Phascolarctobacterium_succinatutens<-->Solobacterium_moorei,-0.051669716961062
Bacteroides_coprocola<-->Clostridium_citroniae,0.021486308266727
Bacteroides_coprocola<-->Tyzzerella_nexilis,0.027994521319897003
Bacteroides_coprocola<-->Flavonifractor_plautii,0.02739021991246
Bacteroides_coprocola<-->Clostridium_bolteae,0.037154790990066
Bacteroides_coprocola<-->Bacteroides_pyogenes,0.05516254485748599
Alistipes_finegoldii<-->Alistipes_shahii,0.099460268606446
Alistipes_finegoldii<-->Intestinimonas_butyriciproducens,0.016559448574941998
Clostridium_bolteae<-->Ruthenibacterium_lactatiformans,0.034799606163367997
Clostridium_bolteae<-->Ruminococcus_callidus,-0.035202434768295994
Clostridium_bolteae<-->Ruminococcus_gnavus,0.030541645864302004
Blautia_sp_N6H1-15<-->Clostridium_bolteae,0.031504029127349994
Bacteroides_dorei<-->Clostridium_bolteae,0.016702069594794
Bacteroides_pyogenes<-->Clostridium_bolteae,0.055691850957294
Bacteroides_ovatus<-->Clostridium_bolteae,0.020038718907633
Clostridium_bolteae<-->Clostridium_glycyrrhizinilyticum,0.048079485689824994
Bacteroides_vulgatus<-->Clostridium_bolteae,0.039611545431016
Bacteroides_dorei<-->Bacteroides_pyogenes,0.020072588340102
Blautia_sp_N6H1-15<-->Eggerthella_lenta,0.073555050085713
Clostridium_citroniae<-->Parabacteroides_sp_CT06,0.014724278623171001
Bacteroides_plebeius<-->Clostridium_citroniae,0.017710333022871002
Clostridium_citroniae<-->Ruminococcus_callidus,-0.016772615539867
Clostridium_citroniae<-->Clostridium_symbiosum,0.072771209064834
Bacteroides_pyogenes<-->Clostridium_citroniae,0.088262034296996
Bacteroides_ovatus<-->Clostridium_citroniae,0.013122484970943997
Bacteroides_coprophilus<-->Clostridium_citroniae,0.046295924641853
Clostridium_citroniae<-->Clostridium_glycyrrhizinilyticum,0.08195419454482801
Bacteroides_vulgatus<-->Clostridium_citroniae,0.046236768737736994
Anaerotignum_lactatifermentans<-->Flavonifractor_plautii,0.055221241013126
Anaerotignum_lactatifermentans<-->Clostridium_glycyrrhizinilyticum,0.016270040049441003
Blautia_sp_N6H1-15<-->Ruminococcus_callidus,-0.016911997233661998
Blautia_sp_N6H1-15<-->Lachnoclostridium_sp_YL32,0.08498092784382598
Agathobaculum_desmolans<-->Blautia_sp_N6H1-15,0.042842644859076004
Blautia_sp_N6H1-15<-->Flavonifractor_plautii,0.013284757520883001
Blautia_producta<-->Blautia_sp_N6H1-15,0.027363831291491003
Blautia_hydrogenotrophica<-->Clostridium_methylpentosum,0.050186751132104
Clostridium_methylpentosum<-->Negativibacillus_massiliensis,0.08273824246194701
Clostridium_methylpentosum<-->Mordavella_sp_Marseille-P3756,0.06896814932440201
Clostridium_methylpentosum<-->Lactonifactor_longoviformis,0.139140152186966
Clostridium_methylpentosum<-->Schaalia_odontolytica,-0.025828812802289
Clostridium_asparagiforme<-->Clostridium_methylpentosum,0.11735957784395501
Monoglobus_pectinilyticus<-->Ruminococcus_bicirculans,0.09650635122644
Schaalia_odontolytica<-->Streptococcus_sp_FDAARGOS_192,0.05198050660120299
Bacteroides_plebeius<-->Bacteroides_salanitronis,0.09771832471039099
Bacteroides_salanitronis<-->Bacteroides_salyersiae,0.120999747807138
Agathobaculum_desmolans<-->Bacteroides_salanitronis,0.026427989806468
Bacteroides_faecichinchillae<-->Bacteroides_salanitronis,0.086664109254878
Bacteroides_pyogenes<-->Bacteroides_salanitronis,0.09845851619188199
Lachnoclostridium_sp_YL32<-->Ruminococcus_callidus,-0.048560851986483994
Massilioclostridium_coli<-->Ruminococcus_callidus,0.037718966967077
Flavonifractor_plautii<-->Ruminococcus_callidus,-0.038084946477263
Bacteroides_pyogenes<-->Ruminococcus_callidus,-0.038974091271568
Christensenella_minuta<-->Ruminococcus_callidus,0.109437933135659
Bacteroides_faecichinchillae<-->Bacteroides_salyersiae,0.013125244413078002
Bacteroides_pectinophilus<-->Roseburia_intestinalis,0.029909795152643998
Blautia_hydrogenotrophica<-->Negativibacillus_massiliensis,0.089295127891018
Eubacterium_ventriosum<-->Negativibacillus_massiliensis,0.046672325860317006
Mordavella_sp_Marseille-P3756<-->Negativibacillus_massiliensis,0.087737688248476
Lactonifactor_longoviformis<-->Negativibacillus_massiliensis,0.09382546695351901
Christensenella_minuta<-->Negativibacillus_massiliensis,0.015372604799966999
Clostridium_asparagiforme<-->Negativibacillus_massiliensis,0.16251498242168
Streptococcus_mitis<-->Streptococcus_sp_A12,0.015533249914606001
Streptococcus_mitis<-->Streptococcus_parasanguinis,0.123516635843003
Streptococcus_parasanguinis<-->Veillonella_dispar,0.032361633098686005
Lactobacillus_rogosae<-->Roseburia_faecis,0.048841779890995994
Bacteroides_pectinophilus<-->Lactobacillus_rogosae,0.06590493933040001
Lactobacillus_rogosae<-->Roseburia_inulinivorans,0.019614185692811002
Blautia_producta<-->Sellimonas_intestinalis,0.022870851708058998
Bacteroides_coprophilus<-->Mediterranea_massiliensis,0.049841551371208
Clostridium_phoceensis<-->Haemophilus_parainfluenzae,-0.09545223085916599
Bacteroides_pectinophilus<-->Butyrivibrio_crossotus,0.08285342272938499
Butyrivibrio_crossotus<-->Lachnospiraceae_bacterium_GAM79,0.08852783220637599
Blautia_hydrogenotrophica<-->Clostridium_asparagiforme,0.062163464806564005
Clostridium_asparagiforme<-->Eubacterium_ventriosum,0.019911969709568
Clostridium_asparagiforme<-->Mordavella_sp_Marseille-P3756,0.073153029680387
Clostridium_asparagiforme<-->Lactonifactor_longoviformis,0.15548732447741598
Faecalicatena_contorta<-->Traorella_massiliensis,0.132563343173521
Faecalicatena_contorta<-->Holdemania_massiliensis,0.1010562005764
Dorea_longicatena<-->Massilioclostridium_coli,0.030764760687383
Blautia_hydrogenotrophica<-->Massilioclostridium_coli,0.016278105400005
Lactonifactor_longoviformis<-->Massilioclostridium_coli,0.03594230340257701
Eubacterium_plexicaudatum<-->Massilioclostridium_coli,0.18072542832907895
Clostridium_sporogenes<-->Erysipelotrichaceae_bacterium_GAM147,0.034718126389961
Flavonifractor_plautii<-->Ruminococcus_gnavus,0.025020884947824
Clostridium_glycyrrhizinilyticum<-->Flavonifractor_plautii,0.01300229299651
Bacteroides_vulgatus<-->Flavonifractor_plautii,0.010411323180486
Alistipes_putredinis<-->Odoribacter_splanchnicus,0.017543563630002
Alistipes_putredinis<-->Angelakisella_massiliensis,0.012504468820638
Angelakisella_massiliensis<-->Fournierella_massiliensis,0.15077630783438
Angelakisella_massiliensis<-->Intestinimonas_butyriciproducens,0.071170715563627
Angelakisella_massiliensis<-->Lachnoclostridium_phocaeense,0.038647887748051
Anaerostipes_hadrus<-->Fusicatenibacter_saccharivorans,0.047983785694726
Monoglobus_pectinilyticus<-->Ruminococcus_gnavus,-0.070916380157941
Alistipes_shahii<-->Ruminococcus_gnavus,-0.030492022813466
Bacteroides_plebeius<-->Bacteroides_pyogenes,0.010313283186944
Bacteroides_pyogenes<-->Bacteroides_salyersiae,0.069051505706632
Agathobaculum_desmolans<-->Bacteroides_pyogenes,0.020760772368597
Bacteroides_pyogenes<-->Tyzzerella_nexilis,0.02713833878712
Bacteroides_pyogenes<-->Bariatricus_massiliensis,-0.032157566434857
Clostridium_glycyrrhizinilyticum<-->Lachnoclostridium_sp_YL32,0.018913552480854003
Provencibacterium_massiliense<-->Tyzzerella_nexilis,-0.013838249347882001
Agathobaculum_desmolans<-->Butyricicoccus_pullicaecorum,0.076057253661827
Agathobaculum_desmolans<-->Tyzzerella_nexilis,0.048840164666895995
Odoribacter_splanchnicus<-->Streptococcus_parasanguinis,-0.026253467415764002
Odoribacter_splanchnicus<-->Pseudoflavonifractor_capillosus,0.022455782051786
Alistipes_shahii<-->Intestinimonas_butyriciproducens,0.054244328072061
Bacteroides_plebeius<-->Bacteroides_salyersiae,0.03003883955631
Streptococcus_salivarius<-->Streptococcus_sp_oral_taxon_431,0.010414000603783
Schaalia_odontolytica<-->Streptococcus_salivarius,0.049193409159369005
Granulicatella_adiacens<-->Streptococcus_parasanguinis,0.026378536277837004
Streptococcus_parasanguinis<-->Streptococcus_sp_oral_taxon_431,0.037174868501507995
Streptococcus_parasanguinis<-->Streptococcus_sp_A12,0.137595047194465
Bacteroides_barnesiae<-->Bacteroides_plebeius,0.064508331073557
Dorea_longicatena<-->Eubacterium_ventriosum,0.088932597951099
Blautia_hydrogenotrophica<-->Eubacterium_ventriosum,0.07959420965033
Eubacterium_ventriosum<-->Lactonifactor_longoviformis,0.012920697408501
Christensenella_minuta<-->Eubacterium_ventriosum,0.062489971359599994
Fournierella_massiliensis<-->Pseudoflavonifractor_capillosus,0.158888237059397
Anaerobutyricum_hallii<-->Anaerostipes_hadrus,0.033747693190065
Butyricicoccus_pullicaecorum<-->Lachnoclostridium_phocaeense,0.016635939190178996
Clostridium_symbiosum<-->Coprobacter_fastidiosus,-0.010813743555939002
Bacteroides_pectinophilus<-->Eubacterium_ramulus,0.027682188865377995
Bacteroides_pectinophilus<-->Roseburia_faecis,0.061913837829233
Alistipes_senegalensis<-->Clostridium_leptum,0.036911675763118997
Bacteroides_coprophilus<-->Bariatricus_massiliensis,-0.014641659480861
Eubacterium_rectale<-->Lachnoclostridium_sp_YL32,-0.032839036360292
Bariatricus_massiliensis<-->Eubacterium_plexicaudatum,0.014471176560186
Butyricicoccus_pullicaecorum<-->Fournierella_massiliensis,0.113137246484788
Butyricicoccus_pullicaecorum<-->Emergencia_timonensis,0.032367124975604
Christensenella_minuta<-->Traorella_massiliensis,0.013474787487389001
Clostridium_leptum<-->Monoglobus_pectinilyticus,0.075560498756491
Coprococcus_eutactus<-->Roseburia_faecis,0.014190734788429
Clostridium_symbiosum<-->Tyzzerella_nexilis,0.017637984216076
Streptococcus_sp_A12<-->Streptococcus_sp_oral_taxon_431,0.19384288830596202
Blautia_hydrogenotrophica<-->Dorea_longicatena,0.058620226939925996
Blautia_hydrogenotrophica<-->Mordavella_sp_Marseille-P3756,0.057713076416919994
Blautia_hydrogenotrophica<-->Lactonifactor_longoviformis,0.111941802544215
Clostridium_leptum<-->Tyzzerella_nexilis,-0.030983206836910998
Dorea_longicatena<-->Lactonifactor_longoviformis,0.037588977375801004
