SampleName,Actinobacteria,Bacteroidetes,Candidatus_Saccharibacteria,Chloroflexi,Deinococcus-Thermus,Firmicutes,Fusobacteria,Lentisphaerae,Proteobacteria,Spirochaetes,Synergistetes,Tenericutes,Unclassified_Bacteria,Verrucomicrobia
DRR127476,0.027431780932569576,0.4637107477864491,9.185320772278354e-05,0.0,0.0,0.38955548419942676,0.0009998112792368357,0.0,0.11378861470074594,0.0022884563435085943,2.56471228858724e-05,0.0,2.5979006374569414e-05,0.0
DRR127478,0.013271589623413654,0.36848121567885017,1.6079374251808014e-05,0.0,1.592076741489059e-05,0.5375033035887967,0.014476385432441721,0.0,0.06442082740066152,0.0,2.356266529241181e-05,0.0,0.00034204076354762286,0.0
DRR127481,0.03521682312127861,0.6992390255384079,1.9389035690325587e-05,0.0,0.0,0.20020797913638028,6.33825312253809e-05,0.0,0.013322694910526737,0.0,1.2318513124023406e-05,0.0,0.0008088854388895767,0.0498145465460647
DRR127485,0.03544006885271274,0.3565182866367902,1.9623201879397007e-05,0.0,0.0,0.5867239885204841,0.00016031575362000664,0.00115073292904051,0.01620741705437062,0.0,0.0004905609875075961,0.0,0.0008904653775559722,0.0
DRR127491,0.11326807737091997,0.2560074141533265,0.00010046152699941776,0.0,1.0228100346591143e-05,0.6075668083341023,0.000545084590197068,0.0,0.018205681400405425,0.0,0.0,0.0,0.0025820312518103584,0.0
DRR127507,0.011092576382903901,0.43840486200854334,3.5029962016697606e-05,0.0,0.0,0.40696839300999443,0.07710836194889578,0.0,0.06478624985910242,0.0,0.0,0.0,0.0003873298822165533,0.0
DRR127509,0.05052957058833477,0.5033773312036931,4.87275617700619e-05,0.0,3.600867525282493e-05,0.41549245974615795,0.00012654513785890947,0.0,0.026529267532593607,1.3391811603123516e-05,0.00010809464429071332,0.0,0.0013468252235022788,0.0005822882440588203
DRR127514,0.11420209107799553,0.3078906527804368,0.0005610186615940994,0.0,0.00028478815991427693,0.4440380093528697,0.0014256086010959524,0.0,0.12636600023885247,1.1464746585911153e-05,1.440439244270771e-05,0.0,0.003312992830057516,4.722570808342383e-05
DRR127515,0.15041991711563124,0.2803296140647966,2.6015895163484734e-05,0.0,0.0,0.5387442376126151,0.0022724670297634645,0.0003851391362721516,0.018744167425680403,1.298185124278268e-05,0.007351214685202284,0.0,3.869040124017008e-05,0.0
DRR127517,0.020996145059131336,0.41736349309079956,1.916603234975469e-05,0.0,0.0,0.5352845318556909,3.950922460477798e-05,0.0,0.022989938247112894,0.0,6.050629057169499e-05,0.0,0.0008758903581478633,0.0007949587942568508
DRR127519,0.007582337193935594,0.5877226714225541,2.5387814188749274e-05,0.0,0.0,0.33898070956525544,0.04195274486858135,0.0,0.022282316524013898,7.520742369734828e-05,0.0,0.0,4.879327247114399e-05,0.0
DRR127521,0.06415122052984873,0.4740811320529944,0.0,0.0,0.0,0.3889941942156272,0.024676576936725206,0.0,0.04477834762406787,2.5023249140627102e-05,0.0,0.0,0.0015952870901575868,0.0
DRR127536,0.04486523402851808,0.5327403530931646,2.106399140056012e-05,1.0917664916086162e-05,0.0,0.3857079660135317,0.0002859245043975508,0.0,0.031091777385235827,0.0,0.0,0.0,0.0039186994716540425,0.0
DRR127557,0.004757342892254769,0.7087119071718044,2.105028178428607e-05,0.0,0.0,0.19911464229307704,8.88551856741557e-05,0.0,0.08510213227750871,0.0,3.047158363885499e-05,0.0,5.5311503809432425e-05,0.00038271037006533035
DRR127559,0.016832636209074426,0.6485775705520335,0.0,0.0,0.0,0.3073282663622738,0.0,0.0,0.025491409959646442,2.3830689292148225e-05,0.0,0.0,3.268049098444435e-05,0.0002917978033965142
DRR127567,0.0096027190577373,0.14113973626176554,0.00017210513688965289,0.0,1.2334325607737805e-05,0.09612791688104434,0.0022062791493713393,0.0,0.7488283249840126,1.8855622347837e-05,0.0,0.0,0.0,1.1075966565406213e-05
DRR127579,0.16924008720710546,0.5169851694102872,0.0,0.0,0.0,0.2679374119126587,0.0018260205592422684,0.0,0.007316107271902883,0.0,0.0,0.0,7.461244451358033e-05,0.03491993955089705
DRR127580,0.00984267285522959,0.6231694948268256,7.730423429742616e-05,0.0,0.0,0.3307112827500881,0.0,0.0,0.01963970748682442,0.0,0.0,0.0,8.181782801122712e-05,0.015118658586498725
DRR127594,0.0809723785301935,0.5622598753543424,0.0,0.0,0.0,0.33568539498555655,0.0006138780578985003,0.0,0.017602909131060256,0.0,4.009677527111739e-05,0.0,0.0006003021946458428,0.0008936397628299524
DRR127603,0.05843915799439535,0.43357355610634873,0.00014825545167372815,0.0,0.0,0.492506188975465,0.0,2.5287344963343295e-05,0.013232673275278549,1.5483516351841595e-05,0.0,0.0,0.0003464297966678783,9.11456397896238e-05
DRR127617,0.020963309815391837,0.656104009120504,2.1721792552839137e-05,0.0,0.0,0.2950155610038073,0.00010297172753095254,0.0,0.0228387419378145,1.9081037001676434e-05,0.0003229040060227806,0.0,9.626048620302668e-05,0.0026777709657916067
DRR127625,0.018238506868880833,0.5766064732312084,3.083229705977381e-05,0.0,0.0,0.3700822437915117,0.02497788457218586,0.0,0.008226316731909428,0.0,0.0,0.0,0.00020770764795837745,0.0001239525490546148
DRR127638,0.03705959143072365,0.7367754292789747,4.127639792387687e-05,0.0,0.0,0.21807240966584504,0.0003400128731555766,0.0,0.0065983563590941065,0.0,0.0,0.0,2.4819501970864805e-05,1.623097555390691e-05
DRR127646,0.3515260451517175,0.22131320284962558,0.0,0.0,0.0,0.39797054256040715,2.0170930663254413e-05,0.014539183929731248,0.008069692442552723,0.0,3.1328615036564845e-05,1.1767857494629588e-05,0.0009977902426257818,0.0037270573309432773
DRR127647,0.06877116836709786,0.6390162619474851,0.00036310430905856964,0.0,0.0,0.22664441324616444,0.003907803453307522,0.0,0.06030152341587272,0.0,0.0,0.0,2.8907315394072447e-05,0.0
DRR127666,0.009725891392095894,0.7464899886590507,1.7305533729230775e-05,0.0,0.0,0.20671109576518912,0.0011823999123753781,0.0,0.03414401509286237,0.0,7.17111099007319e-05,0.0,0.00012633570137631712,0.00014103314277735221
DRR127669,0.06678780112831265,0.504517127453059,0.00035409436939736984,0.0,1.4868032396229956e-05,0.41401127640924146,0.00011775387071139769,0.0,0.01154459043411112,0.0,0.00010077205443051075,0.0,2.5699055524902983e-05,0.0006648425244908749
DRR127674,0.03602570493359271,0.6413020860047062,1.146017842413708e-05,0.0,0.0,0.29700839313654287,0.012421141950212648,0.0,0.010902158248897611,0.0008733379523306391,0.0,0.0,4.9624630418222695e-05,0.0
DRR127685,0.10954324024215939,0.1649988560419643,4.262117277087097e-05,0.0,0.0,0.5857196404300702,0.0004285702619656594,0.0,0.1365823733235765,0.00017654078350658306,0.0,0.0,0.00035715943762485813,0.0
DRR127700,0.06215834531498562,0.6324536411870125,1.9100785528657536e-05,1.7369907073608952e-05,0.0,0.2259645958024843,0.007145412701763862,0.0,0.02146166459441332,4.67949979917234e-05,0.01281556903210916,0.00019945872711437111,5.944953125962464e-05,0.035827710997116353
DRR127708,0.041285542452032045,0.5268243710148454,2.850094725686981e-05,0.0,0.0,0.3058897217308337,0.01804703377356136,0.0005200500136111213,0.04361812661700865,0.0,0.0,0.0,3.274458897570205e-05,0.062143090251021445
DRR127718,0.0019091992401063323,0.5324088606940999,1.1546136408698582e-05,0.0,0.0,0.12274917503168621,0.005726636675459588,0.0,0.3360990103217788,0.0,0.0,0.0,1.5631984495665302e-05,0.0
DRR127720,0.017982767413303586,0.49090154689488896,1.4587693777451327e-05,0.0,0.0,0.2831931783952386,0.004960143351066307,0.0,0.05027219654157132,1.1997267004656175e-05,0.00429535002463213,0.0,0.00011781562517683343,0.14619772334515108
DRR127754,0.11764391525519288,0.5069178149063732,1.059623003839699e-05,0.0,1.705784642986665e-05,0.35464889685558537,0.00507841004264298,0.0,0.014208509066809991,0.0,0.0,0.0,6.80114316272375e-05,0.0
DRR127767,0.33642435239521895,0.286236375872222,1.4830143922007504e-05,0.0,0.0,0.3296094418815971,2.3026533491453264e-05,0.0014983390239688046,0.011727802512584033,3.150598782414155e-05,0.0007502668747216198,0.0,0.0005239447297059885,0.031371650824995045
DRR127774,0.0406285121450122,0.4303660309038086,2.543507010477649e-05,0.0,1.1856396533891466e-05,0.497727501114286,0.0,0.00016616767475826253,0.02595743765769762,0.0,0.0,0.0,0.0007346110221484079,0.0027353999795534933
DRR127789,0.06294554841239995,0.6323267238101818,3.34156680671959e-05,0.0,0.0,0.2686115455729105,0.0052257689635983465,0.00016216829858647133,0.024398031737782738,0.0010093311308958528,0.0034655076783136193,0.0,0.00015628515358877582,2.7763508352105858e-05
DRR162777,0.19335018226687797,0.37834057019966,3.2735754942864805e-05,0.0,7.967621458555897e-05,0.41532529804412144,0.000622053413582631,0.0,0.010683191505028621,0.0001654734851487365,0.0,0.0,0.00019419430101151337,0.0
DRR162778,0.03818334146494589,0.41561161170060024,0.0,0.0,0.0,0.4857486181002737,0.006024792130574107,0.000994112636702638,0.04933211665327508,0.0,0.0006388696938254531,0.0,0.0002232556754662569,0.000875146628656877
DRR162779,0.04834069710206979,0.4489949802530721,0.0,0.0,1.4724980363011664e-05,0.4653522279281967,0.016975145013251678,0.0,0.0151768561259753,0.0,0.0,0.0,0.00013645548389283212,0.003612003681213306
DRR171459,0.021746902329381868,0.2770292625099206,0.0,0.0,0.0,0.26310951139042327,0.0,0.0,0.4355294678797897,0.0,0.0,0.0,0.0010491155925302124,0.0
DRR171472,0.0588656512890385,0.6404614298925421,0.00016405297980699932,0.0,0.0,0.23576570164780156,0.0,0.0,0.06274773518716434,0.0,0.0,0.0,0.0002319590698940676,3.2336555817091344e-05
DRR171519,0.006328529850728924,0.6771277520732594,0.0,0.0,0.0,0.27927000236977084,0.005521111654259074,0.0,0.030438944010172674,0.0,0.0,0.0,0.00014820795136944058,0.0
DRR171661,0.014985826433453536,0.4716760567752056,2.7472346865256265e-05,0.0,0.0,0.43488348150750383,0.0004865213693999491,0.0,0.023575108062078614,0.00016758873087731316,9.399845960715288e-05,0.0,4.890872528120638e-05,0.052398320949825335
DRR171665,0.012342310647532752,0.6378487944529214,3.2687659393148584e-05,0.0,0.0,0.34410339743475243,0.0,0.0,0.004537187290738465,0.0,0.0,0.0,9.840917011847177e-05,0.0
DRR171666,0.048820308279216997,0.5360516406396822,0.00010228209454412112,0.0,0.0,0.38064238746581575,0.00012772758300232768,0.0,0.02055970660672663,3.0364530622879433e-05,1.4604648083700947e-05,0.0,5.886670968548971e-05,0.012215816670762422
DRR171667,0.07861569403111839,0.36423307716490616,3.006399614315091e-05,0.0,0.0,0.5372185593791206,0.00033027462757518055,0.0,0.0018820652545443258,0.00012833335668754493,0.0,0.0,0.004110188325653671,0.012411702492353394
DRR171672,0.02621962939872327,0.7404850689388356,0.0,0.0,0.0,0.21540642427887746,0.0,0.0,0.016140079311019885,0.0002130151553809845,5.418684634592408e-05,0.0,0.00020415474258378736,0.0
DRR171680,0.03043958232626433,0.5172860357797004,1.6340243718496647e-05,1.6074708098739795e-05,0.0,0.3875905895155738,0.0011062003855949773,0.0,0.06188713063912822,0.0,0.0,0.0,0.00012808946955789285,0.0
DRR171683,0.027692132462139446,0.47144711087784147,2.225634735802761e-05,0.0,0.0,0.4813074545152591,0.0010608335115879655,8.602761434421791e-05,0.01567620987885283,5.3260043727587945e-05,0.00016213406643258082,0.0,0.0007522907392596244,0.0
DRR171684,0.025934608804729333,0.5396717057115263,2.4538780732337186e-05,0.0,0.0,0.373039402991009,0.018439720310719065,0.00010166681795788292,0.04135529697049035,0.0,0.0001177681824282701,0.0,5.8557295737667945e-05,0.0002449921481677677
DRR171685,0.01614258325898153,0.6176614954474763,4.4354139055246114e-05,0.0,0.0,0.32295420085539234,0.00026213218293162985,0.0,0.041562488037718344,0.0,5.128458106111472e-05,0.0,0.00016388983654197633,0.0
DRR171688,0.05935808567505071,0.49790823366015674,1.884958115425724e-05,0.0,0.0,0.3898319661326306,0.00027146065100947626,0.0,0.051260716478171285,0.0,0.0,0.0,4.94658821415001e-05,0.0
DRR171693,0.3740664405011015,0.3799031854079037,0.0,1.4971018504262356e-05,0.0,0.22123117798127742,0.014757985563968738,0.0,0.00503193679613544,5.4845268945740286e-05,0.003183207547556191,0.0,0.00023851754815201813,0.0
DRR171697,0.028302942375645335,0.4178366190205527,0.0,0.0,0.0,0.5447106229697259,2.1153508327973646e-05,0.0,0.006640482879044908,0.0004701627754393341,0.00026694882886135984,0.0,7.273324565314553e-05,0.0
DRR171702,0.1024829985664674,0.18159027688714985,4.2634620407803634e-05,0.0,0.0,0.7024411342659399,0.0,0.0,0.00837056907293625,0.00010889992237887574,6.218657146701282e-05,0.0,0.003372462393120278,0.0
DRR171704,0.06731298710176116,0.38476552628466704,3.962610596089126e-05,0.0,0.0,0.4925460207752782,0.00016255471031519978,0.0,0.05336363112269511,0.0001019715071311866,1.701733839879575e-05,0.0,0.00017194567352869184,0.0
DRR171742,0.05136003992885469,0.489450547913575,6.820406357934668e-05,0.0,0.0,0.40770048978998036,0.007991795771462163,0.0,0.0418947480794676,6.519073807383461e-05,0.0,0.0,0.0002482026726341994,0.0
DRR171750,0.006659666356459413,0.6412954335223919,0.0,0.0,0.0,0.29554166424431644,0.0005608256963653965,0.0005121160064357948,0.05027181569213383,6.838307624142067e-05,0.00024862019924485875,0.0,0.00012090728215108601,0.0026494437926578344
DRR171764,0.014727882040522977,0.6778016083836722,2.7180331943001224e-05,0.0,0.0,0.22272976657146976,0.02887501768124539,0.0,0.024411887983367762,0.0,0.0,0.0,7.184583983538128e-05,0.030042042963865128
DRR171767,0.05463556216885097,0.47320200372248505,1.7570969659492247e-05,0.0,0.0,0.4100853759684659,0.0,8.321298748545879e-05,0.05905777960411278,0.0,0.0,0.0,0.0013814097460943466,0.0
DRR171784,0.0476505947213437,0.552504785218903,2.441363805536432e-05,0.0,0.0,0.3981621467034417,9.549655998768622e-05,0.0,4.318398902836192e-05,0.0,0.0,0.0,0.0005040317831713645,0.0
DRR171794,0.044030496664990655,0.5693614720389111,0.0,0.0,0.0,0.3538472123160186,0.00015529466260339652,0.0,0.031156448116667096,0.0,1.8341975787327482e-05,0.0,8.033642977135316e-05,3.7087557914982136e-05
DRR171800,0.006035241894484331,0.6367826301664452,1.7027178280356344e-05,0.0,0.0,0.28007445170361633,0.0007331330041649481,0.0,0.030627014465944128,1.0148141499174093e-05,1.1715373363408204e-05,0.0,0.00013221347171004188,0.04380222443435444
DRR171805,0.00499518310653955,0.7583375295821807,0.0,0.0,0.0,0.13591033843488426,0.0656484892483124,0.0,0.03420104332080311,0.0,0.0,0.0,0.0,0.0
DRR171819,0.017600240104126027,0.45082966840498584,1.8395118045366805e-05,0.0,0.0,0.48101168772299163,0.027417534200491,0.0,0.010395618753305228,0.0,0.0,0.0,0.0001545571187399387,0.010417065469310982
DRR171858,0.010296978177364495,0.44345529406291423,3.576510204501174e-05,0.0,0.0,0.48456680186328777,0.0011939683797623291,0.00012484819028353567,0.04648176291464507,3.049791773875505e-05,1.3847635693275351e-05,0.0,0.0008910794468589421,0.011232787011670181
DRR171859,0.15286818281375775,0.41799963102928783,0.0,0.0,1.000039999834507e-05,0.36311119464226677,0.02288605867540111,0.0,0.03967363403629352,1.1668197217338393e-05,0.0,0.0,0.0019098010026689176,0.0
DRR171871,0.09117957043780889,0.6448309379389301,2.6899537200566228e-05,0.0,0.0,0.2238562750922246,0.0005959128545053846,0.0012160589011357356,0.018315359246753198,2.211733389816043e-05,0.004648498888872493,0.0,5.7871166480766004e-05,0.01419511539401406
DRR171879,0.014817930507444857,0.6822894262417651,8.880598196256485e-05,0.0,0.0,0.1667748084713585,0.09476935996252112,0.0,0.03923079449215568,2.0719991529188408e-05,1.1303687231899927e-05,0.0,0.0002492653662319229,0.0
DRR171891,0.01753751448521742,0.6076753985202713,0.0,0.0,0.0,0.3090768798490463,0.007630002679637125,0.0,0.056066303330239056,0.0,0.0,0.0,0.0005455093093206606,0.0
DRR171905,0.012949449246663827,0.6923355356512654,3.681746457990055e-05,0.0,0.0,0.1904529580639535,0.01301230566726762,0.0,0.012545105570420923,0.01951220223944741,0.0,0.0,1.6610492595676545e-05,0.05781043378162322
DRR171909,0.0019437365706801413,0.7719505456223351,2.336283865528732e-05,0.0,0.0,0.18839320253921615,0.00024740217769638894,0.0,0.033740689855500536,1.4859238195605475e-05,0.0,0.0,5.3030282595435936e-05,0.002008672572410214
DRR171910,0.039417658293798154,0.4532274706914312,2.6718435076099978e-05,0.0,0.0,0.47467740846342316,2.8216729952868667e-05,0.0,0.02929493248567544,1.5054520119783216e-05,0.0,0.0,0.0006716963977380476,0.0009892831264563596
