Sample,Species_Richness,Cohort
DRR127524,370,Healthy
DRR127532,347,Healthy
DRR127535,290,Healthy
DRR127537,305,Healthy
DRR127546,336,Healthy
DRR127552,265,Healthy
DRR127583,273,Healthy
DRR127588,277,Healthy
DRR127596,381,Healthy
DRR127597,334,Healthy
DRR127613,358,Healthy
DRR127616,298,Healthy
DRR127619,247,Healthy
DRR127628,337,Healthy
DRR127634,342,Healthy
DRR127649,404,Healthy
DRR127672,239,Healthy
DRR127683,207,Healthy
DRR127692,349,Healthy
DRR127704,273,Healthy
DRR127707,295,Healthy
DRR127713,237,Healthy
DRR127721,261,Healthy
DRR127724,267,Healthy
DRR127728,313,Healthy
DRR127731,285,Healthy
DRR127736,235,Healthy
DRR127748,276,Healthy
DRR127751,317,Healthy
DRR127752,261,Healthy
DRR127755,364,Healthy
DRR127756,459,Healthy
DRR127762,302,Healthy
DRR127763,297,Healthy
DRR127776,264,Healthy
DRR127777,367,Healthy
DRR162775,247,Healthy
DRR162776,297,Healthy
DRR171467,249,Healthy
DRR171469,356,Healthy
DRR171474,244,Healthy
DRR171477,385,Healthy
DRR171479,470,Healthy
DRR171487,332,Healthy
DRR171488,337,Healthy
DRR171497,327,Healthy
DRR171499,252,Healthy
DRR171500,324,Healthy
DRR171503,265,Healthy
DRR171506,268,Healthy
DRR171509,369,Healthy
DRR171513,338,Healthy
DRR171514,299,Healthy
DRR171515,284,Healthy
DRR171517,283,Healthy
DRR171518,251,Healthy
DRR171523,308,Healthy
DRR171525,284,Healthy
DRR171527,332,Healthy
DRR171530,230,Healthy
DRR171538,305,Healthy
DRR171539,327,Healthy
DRR171543,261,Healthy
DRR171545,378,Healthy
DRR171546,262,Healthy
DRR171552,253,Healthy
DRR171555,282,Healthy
DRR171560,226,Healthy
DRR171563,301,Healthy
DRR171567,277,Healthy
DRR171568,316,Healthy
DRR171569,309,Healthy
DRR171571,263,Healthy
DRR171572,371,Healthy
DRR171576,357,Healthy
DRR171578,241,Healthy
DRR171580,396,Healthy
DRR171581,255,Healthy
DRR171585,344,Healthy
DRR171586,375,Healthy
DRR171587,240,Healthy
DRR171588,304,Healthy
DRR171589,383,Healthy
DRR171591,304,Healthy
DRR171592,234,Healthy
DRR171594,247,Healthy
DRR171598,326,Healthy
DRR171599,336,Healthy
DRR171601,277,Healthy
DRR171604,280,Healthy
DRR171605,295,Healthy
DRR171606,330,Healthy
DRR171607,266,Healthy
DRR171608,339,Healthy
DRR171610,384,Healthy
DRR171613,328,Healthy
DRR171616,273,Healthy
DRR171617,249,Healthy
DRR171619,299,Healthy
DRR171620,271,Healthy
DRR171621,326,Healthy
DRR171628,265,Healthy
DRR171629,277,Healthy
DRR171631,342,Healthy
DRR171637,257,Healthy
DRR171639,258,Healthy
DRR171640,386,Healthy
DRR171641,278,Healthy
DRR171642,297,Healthy
DRR171643,295,Healthy
DRR171644,279,Healthy
DRR171645,366,Healthy
DRR171646,286,Healthy
DRR171647,310,Healthy
DRR171648,317,Healthy
DRR171650,281,Healthy
DRR171651,361,Healthy
DRR171652,361,Healthy
DRR171653,355,Healthy
DRR171654,332,Healthy
DRR171655,312,Healthy
DRR171656,437,Healthy
DRR171657,346,Healthy
DRR171659,278,Healthy
DRR171662,253,Healthy
DRR171663,254,Healthy
DRR171673,353,Healthy
DRR171676,366,Healthy
DRR171686,291,Healthy
DRR171689,313,Healthy
DRR171691,307,Healthy
DRR171694,312,Healthy
DRR171698,365,Healthy
DRR171700,230,Healthy
DRR171705,312,Healthy
DRR171710,276,Healthy
DRR171711,310,Healthy
DRR171724,306,Healthy
DRR171725,312,Healthy
DRR171726,372,Healthy
DRR171727,316,Healthy
DRR171733,301,Healthy
DRR171737,265,Healthy
DRR171741,369,Healthy
DRR171745,347,Healthy
DRR171747,322,Healthy
DRR171755,249,Healthy
DRR171762,333,Healthy
DRR171763,363,Healthy
DRR171765,369,Healthy
DRR171770,292,Healthy
DRR171771,293,Healthy
DRR171772,322,Healthy
DRR171773,327,Healthy
DRR171777,270,Healthy
DRR171779,309,Healthy
DRR171782,368,Healthy
DRR171783,262,Healthy
DRR171786,325,Healthy
DRR171791,413,Healthy
DRR171793,279,Healthy
DRR171796,379,Healthy
DRR171798,229,Healthy
DRR171801,300,Healthy
DRR171802,409,Healthy
DRR171807,164,Healthy
DRR171810,333,Healthy
DRR171812,294,Healthy
DRR171813,321,Healthy
DRR171816,243,Healthy
DRR171817,313,Healthy
DRR171953,365,Healthy
DRR171954,337,Healthy
DRR171957,363,Healthy
DRR171959,306,Healthy
DRR171964,342,Healthy
DRR171965,264,Healthy
DRR173016,291,Healthy
DRR127476,454,CRC
DRR127478,321,CRC
DRR127481,279,CRC
DRR127485,387,CRC
DRR127491,321,CRC
DRR127507,351,CRC
DRR127509,316,CRC
DRR127514,443,CRC
DRR127515,370,CRC
DRR127517,354,CRC
DRR127519,313,CRC
DRR127521,375,CRC
DRR127536,313,CRC
DRR127557,328,CRC
DRR127559,299,CRC
DRR127567,379,CRC
DRR127579,260,CRC
DRR127580,315,CRC
DRR127594,340,CRC
DRR127603,374,CRC
DRR127617,375,CRC
DRR127625,328,CRC
DRR127638,248,CRC
DRR127646,360,CRC
DRR127647,273,CRC
DRR127666,320,CRC
DRR127669,367,CRC
DRR127674,332,CRC
DRR127685,427,CRC
DRR127700,382,CRC
DRR127708,353,CRC
DRR127718,226,CRC
DRR127720,381,CRC
DRR127754,331,CRC
DRR127767,396,CRC
DRR127774,350,CRC
DRR127789,346,CRC
DRR162777,310,CRC
DRR162778,356,CRC
DRR162779,298,CRC
DRR171459,282,CRC
DRR171472,371,CRC
DRR171519,221,CRC
DRR171661,309,CRC
DRR171665,265,CRC
DRR171666,358,CRC
DRR171667,314,CRC
DRR171672,306,CRC
DRR171680,326,CRC
DRR171683,361,CRC
DRR171684,299,CRC
DRR171685,328,CRC
DRR171688,346,CRC
DRR171693,444,CRC
DRR171697,378,CRC
DRR171702,364,CRC
DRR171704,395,CRC
DRR171742,296,CRC
DRR171750,370,CRC
DRR171764,261,CRC
DRR171767,301,CRC
DRR171784,280,CRC
DRR171794,278,CRC
DRR171800,341,CRC
DRR171805,216,CRC
DRR171819,349,CRC
DRR171858,378,CRC
DRR171859,344,CRC
DRR171871,301,CRC
DRR171879,353,CRC
DRR171891,297,CRC
DRR171905,259,CRC
DRR171909,259,CRC
DRR171910,342,CRC
