Sample,ShannonWienerIndex,Cohort
DRR127524,2.75238395856772,Healthy
DRR127532,3.657553215313815,Healthy
DRR127535,2.9118386242212364,Healthy
DRR127537,3.242894999129713,Healthy
DRR127546,3.51409303443956,Healthy
DRR127552,3.162204564225615,Healthy
DRR127583,3.536390196294323,Healthy
DRR127588,3.639803588413369,Healthy
DRR127596,3.3121197550011443,Healthy
DRR127597,3.0311080135598893,Healthy
DRR127613,3.212858925443633,Healthy
DRR127616,3.5622616502500133,Healthy
DRR127619,2.743670825593578,Healthy
DRR127628,3.711495042371156,Healthy
DRR127634,3.4021880530285626,Healthy
DRR127649,4.001333730500029,Healthy
DRR127672,3.1541935114062087,Healthy
DRR127683,2.7257828750240627,Healthy
DRR127692,3.285826297717601,Healthy
DRR127704,3.534620134476847,Healthy
DRR127707,3.4480343360618875,Healthy
DRR127713,2.8729048350039212,Healthy
DRR127721,2.5188677345731247,Healthy
DRR127724,3.284533893309998,Healthy
DRR127728,2.3598640582288923,Healthy
DRR127731,3.3793239554504457,Healthy
DRR127736,2.9737716696319447,Healthy
DRR127748,3.1576002690118483,Healthy
DRR127751,2.8806118018952085,Healthy
DRR127752,2.6042707486554377,Healthy
DRR127755,3.59296455811392,Healthy
DRR127756,4.004796916610577,Healthy
DRR127762,3.077658237524291,Healthy
DRR127763,3.6372015404048086,Healthy
DRR127776,2.4683506859242876,Healthy
DRR127777,3.7252851776084897,Healthy
DRR162775,2.835401227979076,Healthy
DRR162776,3.3331603368289766,Healthy
DRR171467,2.691181461270467,Healthy
DRR171469,3.9312648895527915,Healthy
DRR171474,3.1334402102846144,Healthy
DRR171477,3.7330427469297525,Healthy
DRR171479,3.190602265985306,Healthy
DRR171487,3.5512371810822065,Healthy
DRR171488,1.2037929545575359,Healthy
DRR171497,3.638788730183588,Healthy
DRR171499,2.6077239855350425,Healthy
DRR171500,3.601332084582925,Healthy
DRR171503,3.1233346460815037,Healthy
DRR171506,3.291538252272872,Healthy
DRR171509,4.062891162144956,Healthy
DRR171513,3.5095030787455173,Healthy
DRR171514,3.4738991347424633,Healthy
DRR171515,3.5239447112046576,Healthy
DRR171517,3.3231740512140266,Healthy
DRR171518,3.2409903785293865,Healthy
DRR171523,3.6474737196887954,Healthy
DRR171525,3.6761948105361903,Healthy
DRR171527,3.5736151032175,Healthy
DRR171530,2.663295324931058,Healthy
DRR171538,2.768092617753756,Healthy
DRR171539,4.072177075847537,Healthy
DRR171543,2.8852273079738127,Healthy
DRR171545,3.9503723941092526,Healthy
DRR171546,2.747087979450862,Healthy
DRR171552,2.9730287744134145,Healthy
DRR171555,3.724630957243745,Healthy
DRR171560,2.9678937374455465,Healthy
DRR171563,3.272697838156409,Healthy
DRR171567,3.545663890574288,Healthy
DRR171568,3.283045120096457,Healthy
DRR171569,3.7572232245460144,Healthy
DRR171571,3.343614993378337,Healthy
DRR171572,3.709914468820036,Healthy
DRR171576,2.540555855654615,Healthy
DRR171578,3.1201969837290506,Healthy
DRR171580,3.381376254745818,Healthy
DRR171581,3.1063424451546884,Healthy
DRR171585,3.556589456498938,Healthy
DRR171586,3.8752701488723926,Healthy
DRR171587,3.1197192926218027,Healthy
DRR171588,3.0798820740962687,Healthy
DRR171589,3.357425936012335,Healthy
DRR171591,3.510368412239396,Healthy
DRR171592,3.0670045367992063,Healthy
DRR171594,2.469113608367368,Healthy
DRR171598,3.4651809530941526,Healthy
DRR171599,3.2282319109841153,Healthy
DRR171601,3.3066691549158103,Healthy
DRR171604,3.5038973759501686,Healthy
DRR171605,3.6530122877913955,Healthy
DRR171606,3.4601602308402444,Healthy
DRR171607,3.1195931949060656,Healthy
DRR171608,3.323714128320571,Healthy
DRR171610,3.9045885577923154,Healthy
DRR171613,3.325298784688957,Healthy
DRR171616,2.789312183424472,Healthy
DRR171617,2.0401884885947514,Healthy
DRR171619,3.7659638819467567,Healthy
DRR171620,3.5315657930501367,Healthy
DRR171621,3.990023216192549,Healthy
DRR171628,3.588206130950377,Healthy
DRR171629,3.0426131693610077,Healthy
DRR171631,2.1712535647804163,Healthy
DRR171637,3.1489196030453623,Healthy
DRR171639,3.6003620448791898,Healthy
DRR171640,3.780029431679178,Healthy
DRR171641,3.060307410202462,Healthy
DRR171642,3.825100590061193,Healthy
DRR171643,3.3010575528606387,Healthy
DRR171644,2.9784996757274156,Healthy
DRR171645,3.3396270532542096,Healthy
DRR171646,3.4083097021655266,Healthy
DRR171647,2.931018189755469,Healthy
DRR171648,3.7181490105318593,Healthy
DRR171650,3.6537376381908304,Healthy
DRR171651,4.117153330300509,Healthy
DRR171652,3.533894070345631,Healthy
DRR171653,3.620700533880331,Healthy
DRR171654,3.340117768562096,Healthy
DRR171655,3.3511336629440565,Healthy
DRR171656,3.9936674229141382,Healthy
DRR171657,2.9362347897953245,Healthy
DRR171659,3.409307275588191,Healthy
DRR171662,3.2007306513931018,Healthy
DRR171663,3.2297325007619238,Healthy
DRR171673,3.6849074526217573,Healthy
DRR171676,3.829033986856738,Healthy
DRR171686,3.6627604315783366,Healthy
DRR171689,3.647904018960192,Healthy
DRR171691,3.5664882738251458,Healthy
DRR171694,3.5696923740788766,Healthy
DRR171698,3.4720862081836015,Healthy
DRR171700,2.7598050560256007,Healthy
DRR171705,3.6934782844603946,Healthy
DRR171710,3.520190015954446,Healthy
DRR171711,3.320019917154354,Healthy
DRR171724,2.948397868195094,Healthy
DRR171725,3.322265780976919,Healthy
DRR171726,3.7329077638575567,Healthy
DRR171727,2.960763075257948,Healthy
DRR171733,3.3456408117775975,Healthy
DRR171737,3.550678499790735,Healthy
DRR171741,3.6025762916642017,Healthy
DRR171745,3.6788488153882657,Healthy
DRR171747,3.7593098202929944,Healthy
DRR171755,3.4820036696921948,Healthy
DRR171762,2.549993631967231,Healthy
DRR171763,3.8317386106134883,Healthy
DRR171765,3.0941569486739704,Healthy
DRR171770,3.243064556434687,Healthy
DRR171771,2.994327335258236,Healthy
DRR171772,3.0223370557481606,Healthy
DRR171773,3.5137918604866027,Healthy
DRR171777,3.4748839389729365,Healthy
DRR171779,3.8170780453064586,Healthy
DRR171782,3.8109746864604066,Healthy
DRR171783,3.146482913368653,Healthy
DRR171786,3.483411316026392,Healthy
DRR171791,4.080608576125241,Healthy
DRR171793,3.5865579313048404,Healthy
DRR171796,3.8876730693169934,Healthy
DRR171798,1.717392214023229,Healthy
DRR171801,3.033157081455404,Healthy
DRR171802,3.8049883034506977,Healthy
DRR171807,2.3364907167996716,Healthy
DRR171810,4.105157735374325,Healthy
DRR171812,3.664263628838186,Healthy
DRR171813,3.8668371272863307,Healthy
DRR171816,2.8321101771094104,Healthy
DRR171817,3.1216022287978484,Healthy
DRR171953,3.5721382213252317,Healthy
DRR171954,3.849154977524504,Healthy
DRR171957,3.7121984606719174,Healthy
DRR171959,3.7040344220040624,Healthy
DRR171964,3.676239491382435,Healthy
DRR171965,2.709867614362056,Healthy
DRR173016,3.4900226899487743,Healthy
DRR127476,4.140029220499418,CRC
DRR127478,3.347792443626469,CRC
DRR127481,3.6035603603731543,CRC
DRR127485,4.017799207564728,CRC
DRR127491,3.517013959360886,CRC
DRR127507,3.528606931170112,CRC
DRR127509,3.6803944799645847,CRC
DRR127514,4.046049662773891,CRC
DRR127515,4.1368861577412375,CRC
DRR127517,3.9385271612462804,CRC
DRR127519,2.9886344094636192,CRC
DRR127521,3.816544726586311,CRC
DRR127536,3.7321441369275763,CRC
DRR127557,2.8269026116976406,CRC
DRR127559,3.5955304678341675,CRC
DRR127567,2.4425832817202537,CRC
DRR127579,3.172043875341764,CRC
DRR127580,3.759277138102696,CRC
DRR127594,3.3111028780719165,CRC
DRR127603,3.5262479401921065,CRC
DRR127617,3.4188791273701664,CRC
DRR127625,3.4346928087165605,CRC
DRR127638,3.1411894298632586,CRC
DRR127646,3.5961602400118657,CRC
DRR127647,3.0110286835624414,CRC
DRR127666,2.4031113241395516,CRC
DRR127669,3.638546136113037,CRC
DRR127674,3.7795222165689015,CRC
DRR127685,3.83816331587473,CRC
DRR127700,3.761001174602642,CRC
DRR127708,3.7021228108652195,CRC
DRR127718,2.465075709334407,CRC
DRR127720,3.823501820361801,CRC
DRR127754,3.535109477815236,CRC
DRR127767,3.8511490288688517,CRC
DRR127774,3.708584447322626,CRC
DRR127789,3.830825085718637,CRC
DRR162777,3.4856866448096637,CRC
DRR162778,4.098606380194169,CRC
DRR162779,3.568059583670316,CRC
DRR171459,2.7863630053628534,CRC
DRR171472,3.339787240060486,CRC
DRR171519,3.1122401977538368,CRC
DRR171661,3.859204124395213,CRC
DRR171665,3.3628699728879776,CRC
DRR171666,4.048139660596272,CRC
DRR171667,3.7674192499349974,CRC
DRR171672,2.813173184098784,CRC
DRR171680,3.5510705224606616,CRC
DRR171683,3.6696070646619465,CRC
DRR171684,3.650256239299117,CRC
DRR171685,3.7039572050233054,CRC
DRR171688,3.5801965536298286,CRC
DRR171693,3.546252415887182,CRC
DRR171697,3.670656542401042,CRC
DRR171702,3.9284005302266967,CRC
DRR171704,4.070583586535162,CRC
DRR171742,3.408338117790189,CRC
DRR171750,3.8068438028003153,CRC
DRR171764,3.413406671066406,CRC
DRR171767,3.5111927581390594,CRC
DRR171784,3.5326444953537135,CRC
DRR171794,3.6980468785833778,CRC
DRR171800,3.500673233460408,CRC
DRR171805,2.894549550712527,CRC
DRR171819,3.902813118514378,CRC
DRR171858,3.895916497276623,CRC
DRR171859,3.6668500393216563,CRC
DRR171871,3.7099587024611282,CRC
DRR171879,2.9149669672602876,CRC
DRR171891,2.680564862064179,CRC
DRR171905,2.94166162937078,CRC
DRR171909,3.0139153205051996,CRC
DRR171910,3.881976481177916,CRC
